Month (from time 0),Gross Oil (bbl),Gross Gas (mcf),Total Capital (M$),Total Operating Expense (M$)
0,0,0,5000,0
1,31500,12611,10000,100
2,67200,26941,10000,300
3,128100,51041,5000,400
4,159600,64073,0,400
5,151032,60543,0,400
6,142174,56591,0,400
7,133783,53315,0,400
8,126353,50350,0,400
9,120059,48033,0,400
10,113471,45450,0,400
11,108314,43134,0,400
12,102226,40937,0,500
13,96159,38291,0,500
14,91390,36716,0,500
15,87228,34759,0,500
16,82658,32993,0,500
17,79304,31616,0,500
18,75787,30356,0,500
19,72215,28909,0,500
20,68536,27355,0,500
21,65159,26017,0,400
22,61333,24587,0,400
23,57975,23291,0,400
24,54963,22048,0,400
25,52002,20719,0,400
26,49715,19805,0,400
27,47179,18894,0,400
28,44934,17926,0,100
29,42718,17079,0,100
30,40587,16252,0,100
31,38407,15303,0,100
32,36338,14574,0,100
33,34667,13868,0,100
34,33176,13280,0,100
35,31250,12443,0,100
