Month (from time 0),Gross Oil (bbl),Gross Gas (mcf),Total Capital (M$),Total Operating Expense (M$)
0,0,0,5000,0
1,15000,6005,10000,100
2,32000,12829,10000,300
3,61000,24305,5000,500
4,76000,30511,0,500
5,71920,28830,0,500
6,67702,26948,0,500
7,63706,25388,0,500
8,60168,23976,0,500
9,57171,22873,0,500
10,54034,21643,0,500
11,51578,20540,0,500
12,48679,19494,500,700
13,45790,18234,0,500
14,43519,17484,0,500
15,41537,16552,0,500
16,39361,15711,0,500
17,37764,15055,500,700
18,36089,14455,0,500
19,34388,13766,0,500
20,32636,13026,0,500
21,31028,12389,0,400
22,29206,11708,0,400
23,27607,11091,0,400
24,26173,10499,0,400
25,24763,9866,0,400
26,23674,9431,0,400
27,22466,8997,0,400
28,21397,8536,0,100
29,20342,8133,0,100
30,19327,7739,0,100
31,18289,7287,0,100
32,17304,6940,0,100
33,16508,6604,0,100
34,15798,6324,0,100
35,14881,5925,0,100
