Month (from time 0),Gross Oil (bbl),Gross Gas (mcf),Total Capital (M$),Total Operating Expense (M$)
0,0,0,5000,0
1,22500,9008,10000,100
2,48000,19244,10000,300
3,91500,36458,5000,500
4,114000,45767,0,500
5,107880,43245,0,500
6,101553,40422,0,500
7,95559,38082,0,500
8,90252,35964,0,500
9,85757,34310,0,500
10,81051,32465,0,500
11,77367,30810,0,500
12,73019,29241,500,700
13,68685,27351,0,500
14,65279,26226,0,500
15,62306,24828,0,500
16,59042,23567,0,500
17,56646,22583,500,700
18,54134,21683,0,500
19,51582,20649,0,500
20,48954,19539,0,500
21,46542,18584,0,400
22,43809,17562,0,400
23,41411,16637,0,400
24,39260,15749,0,400
25,37145,14799,0,400
26,35511,14147,0,400
27,33699,13496,0,400
28,32096,12804,0,100
29,30513,12200,0,100
30,28991,11609,0,100
31,27434,10931,0,100
32,25956,10410,0,100
33,24762,9906,0,100
34,23697,9486,0,100
35,22322,8888,0,100
