Month (from time 0),Gross Oil (bbl),Gross Gas (mcf),Total Capital (M$),Total Operating Expense (M$),,
0,0,0,5000,0,,
1,10777,560629,10000,100,,
2,27427,1392165,10000,300,,
3,59590,2649989,5000,300,,
4,69181,3742063,0,300,,
5,72586,3277960,0,300,,
6,58278,3532842,0,300,,
7,58777,3004033,0,300,,
8,62637,3216522,0,300,,
9,58511,2699837,0,300,,
10,58347,2649814,0,300,,
11,54725,2758319,500,500,,
12,53024,2949582,0,300,,
13,48691,2488785,0,300,,
14,48698,2561340,0,300,,
15,45627,2355858,0,300,,
16,46916,2202316,0,300,,
17,44342,2314137,0,300,,
18,45972,2462791,0,300,,
19,45433,2497851,0,300,,
20,48591,2407157,0,300,,
21,45126,1997847,0,250,,
22,42556,1958606,0,250,,
23,36672,1795765,0,250,,
24,40169,1770624,0,250,,
25,34449,1656182,500,450,,
26,35922,1684550,0,250,,
27,32163,1515599,0,250,,
28,29546,1573232,0,150,,
29,28077,1571099,0,150,,
30,25917,1520114,0,150,,
31,25001,1390463,0,150,,
32,28155,1430896,0,150,,
33,22089,1204455,0,150,,
34,25161,1300209,0,150,,
35,25042,1283415,0,150,,
,,,,,,
19.82267917," 1,494,175.00 "," 75,377,046.00 ",,,,
