Month (from time 0),Gross Oil (bbl),Gross Gas (mcf),Total Capital (M$),Total Operating Expense (M$),,
0,0,0,5000,0,,
1,2831,736956,10000,100,,
2,10653,1440588,10000,300,,
3,14859,2978306,5000,300,,
4,25259,5057633,0,300,,
5,16474,4426647,0,300,,
6,23850,3236425,0,300,,
7,16744,3009283,0,300,,
8,16056,3293557,0,300,,
9,23225,3820119,0,300,,
10,17093,4327677,0,300,,
11,20885,4254476,0,300,,
12,14489,2921226,500,400,,
13,15773,3545470,0,300,,
14,17668,2420891,0,300,,
15,13563,2619182,0,300,,
16,16371,2176020,0,300,,
17,12315,2310208,0,400,,
18,13923,2069531,250,400,,
19,10759,2062633,250,400,,
20,10414,2527772,0,300,,
21,9375,2086701,0,350,,
22,10714,2522445,0,250,,
23,11120,1707016,0,350,,
24,10484,2505849,0,250,,
25,10337,2231819,0,250,,
26,9351,2247812,0,250,,
27,9415,1951532,0,250,,
28,8500,1537623,0,150,,
29,10683,1371541,0,150,,
30,10080,1526130,0,350,,
31,9280,1810720,0,150,,
32,7306,1429773,0,150,,
33,7861,1390532,0,150,,
34,7342,1431712,0,150,,
35,8190,1551481,0,150,,
,,,,,,
5.237534258," 453,242.00 "," 86,537,286.00 ",,,,
