Month (from time 0),Gross Oil (bbl),Gross Gas (mcf),Total Capital (M$),Total Operating Expense (M$),,
0,0,0,5000,0,,
1,6576,379555,10000,100,,
2,18159,974515,10000,300,,
3,32967,1806917,5000,300,,
4,38169,2420647,0,300,,
5,37341,2319787,0,300,,
6,40653,2178667,0,300,,
7,36189,2040911,0,300,,
8,35736,1937165,0,300,,
9,35611,2152928,0,300,,
10,33237,2132926,0,300,,
11,30168,1918140,0,300,,
12,30381,1860596,500,400,,
13,27710,1820219,0,300,,
14,28711,1660647,0,300,,
15,26716,1691387,0,300,,
16,26506,1436173,0,300,,
17,25377,1450988,500,400,,
18,22341,1362720,0,300,,
19,22822,1434695,0,300,,
20,23352,1351634,0,300,,
21,20262,1286799,0,250,,
22,20559,1270178,0,250,,
23,20738,1107372,0,250,,
24,22167,1175877,0,250,,
25,20101,1193384,0,250,,
26,20969,1033993,0,250,,
27,17485,1106967,0,250,,
28,16743,1103278,0,150,,
29,18568,1075412,0,150,,
30,18868,948293,0,200,,
31,15844,1000065,0,150,,
32,15524,994500,0,150,,
33,15285,964753,0,150,,
34,15795,861230,0,150,,
35,14742,813208,0,150,,
,,,,,,
16.95705011," 852,372.00 "," 50,266,526.00 ",,,,
